country,population,GDP_PPP,life_expectancy,age,nominalGDP
Armenia,2976566.0,25405295877.65,74.618,28.0,11536590635.8268
Ecuador,15737878.0,185242693748.0,76.327,197.0,103056619000.0
Brunei,417784.0,33164943526.59,77.203,35.0,12128089001.5858
Bahamas,377374.0,8924827792.85,75.675,46.0,12162100000.0
South Africa,57725600.0,725908635919.922,62.774,109.0,349419343614.089
Jamaica,2950210.0,24785002527.51,75.97,57.0,14768134912.4171
Kiribati,102351.0,224257757.99,66.317,40.0,196150061.312078
Vanuatu,252763.0,790758641.92,72.133,39.0,862879789.390161
Chile,17619708.0,419386742724.67,79.522,201.0,277075944401.941
Oman,3632444.0,179491830712.76,77.029,49.0,72642652795.8387
Federated States of Micronesia,103549.0,365266872.38,69.195,33.0,336427532.88
Taiwan,23508362.0,,,107.0,566757000000.0
Fiji,881065.0,8317644843.99,70.269,49.0,5061202767.42948
Syria,22845550.0,,70.31,99.0,60200000000.0
Iraq,33417476.0,560729743077.95,69.862,87.0,197715736040.609
Mali,15301650.0,35694951708.6021,57.966,59.0,15288163367.2602
Tanzania,49253126.0,138731925532.8,65.675,55.0,52090320325.4736
Peru,30375603.0,393125472102.076,74.983,198.0,211389272242.157
Afghanistan,31822848.0,62619006135.05,63.673,196.0,20815300220.0428
Suriname,539276.0,9069126393.45,71.405,44.0,3324385325.26677
Grenada,105897.0,1448391592.95,73.659,45.0,1118816679.40741
Australia,23401892.0,1100770841127.12,82.5,118.0,1323421072479.07
Saint Lucia,182273.0,2024690869.87,75.496,40.0,1712306555.55556
Israel,8891800.0,306510048624.67,82.40732,71.0,350850537827.281
Qatar,2168673.0,316398099077.19,78.184,149.0,167605219780.22
Tuvalu,9876.0,38931935.97,,41.0,39731317.3044487
Chad,12825314.0,30543039661.3046,52.903,59.0,9981303726.23281
Bolivia,10671200.0,74577744268.8488,69.125,194.0,37508642112.8799
Lebanon,4467390.0,81537465623.56,79.584,76.0,51844487742.0232
Venezuela,30405207.0,,74.545,208.0,482359318767.703
Liechtenstein,37468.0,,82.6561,213.0,6289165409.55908
Vietnam,94660000.0,553421892997.82,76.253,43.0,223863996354.655
El Salvador,6340454.0,52808578088.06,73.512,177.0,24805439600.0
Colombia,47704427.0,724958038482.589,74.381,209.0,309191382833.365
Singapore,5888926.0,472591213825.73,82.79512,54.0,323907234412.34
East Timor,1180069.0,2842268279.11,68.881,17.0,2954620999.58441
Argentina,43417000.0,883018171526.42,76.577,203.0,637590419269.324
Guatemala,15468203.0,126206881633.36,73.409,198.0,75620095537.5005
Bangladesh,156594962.0,537659320618.3,72.489,48.0,249723887765.42
Cambodia,15135169.0,54373395079.59,68.981,66.0,22158209502.6391
India,1339180127.0,8003407902796.51,68.56,72.0,2597491162897.67
Tajikistan,8610000.0,24034649524.62,71.051,28.0,7145701018.7492
Angola,21471618.0,184829836449.931,61.547,44.0,124209385825.22
Sri Lanka,20277597.0,246618394774.46,75.284,47.0,87174682200.4324
Panama,3864170.0,87373244561.46,78.001,116.0,61838175800.0
Jordan,9813095.0,82799345519.88,74.329,73.0,40068308516.2755
Dominica,72003.0,789634652.13,76.59756,41.0,562540740.740741
Saint Vincent and the Grenadines,109373.0,1219366997.08,73.179,40.0,789629629.62963
Nauru,10084.0,162980201.78,,51.0,113884908.36413
Haiti,10317461.0,18824011296.63,63.33,215.0,8408150517.97684
New Zealand,4885300.0,,81.61244,112.0,205852838254.712
Costa Rica,4872166.0,74976669840.7,79.831,198.0,57057372468.0383
Trinidad and Tobago,1341151.0,45302518908.03,70.673,43.0,22104775828.46
Bahrain,1332171.0,64160057504.73,76.9,48.0,35307127659.5745
Uzbekistan,31576400.0,190501449102.92,71.314,28.0,48717685984.0278
Kuwait,4660000.0,290528801978.86,74.694,28.0,120126277612.925
Nicaragua,6080478.0,31628389092.03,75.404,198.0,13814261535.5434
Solomon Islands,561231.0,1284445379.65,70.726,41.0,1303453616.11974
North Korea,24895480.0,,71.685,71.0,16282601357.0
Serbia,7041599.0,100129344645.62,75.23902,13.0,41431648801.1663
Algeria,38813722.0,582629895320.782,76.078,57.0,170370810917.971
Dominican Republic,10403761.0,149893354989.62,73.861,175.0,75931656814.657
Samoa,190372.0,1146783959.81,75.013,57.0,856626506.024096
Marshall Islands,52634.0,207251139.7,65.23902,33.0,199399247.08
Bhutan,753947.0,6485191776.0,70.197,70.0,2511852941.17647
Laos,6769727.0,38712066581.29,66.683,70.0,16853079615.3519
United Arab Emirates,9346129.0,640720167171.7,77.256,48.0,382575085091.899
Tonga,105323.0,587633104.13,73.029,49.0,426057453.064917
Myanmar,53259018.0,282946300823.37,66.612,71.0,69322122755.8536
Malaysia,29716965.0,817430809204.52,75.3,62.0,314500279043.81
Palau,20918.0,326117786.0,69.12927,25.0,291544300.0
Yemen,26183676.0,75688362253.62,64.953,29.0,18213328571.4286
Saint Kitts and Nevis,54191.0,1394199260.81,71.33659,52.0,945854481.481481
Thailand,65931550.0,1110457867813.54,75.303,251.0,455220920571.129
South Korea,51069375.0,1753732543472.61,82.02439,71.0,1530750923148.7
Paraguay,6802295.0,61069963183.02,73.12,208.0,29734895248.9053
Papua New Guinea,7321262.0,,65.544,44.0,21088758484.7485
Pakistan,182142594.0,946667402472.88,66.481,72.0,304951818494.066
Guyana,799613.0,5769805304.29,66.65,53.0,3675631961.25908
Mongolia,3081678.0,36162929570.0058,69.287,108.0,11488046881.0431
Saudi Arabia,33000000.0,1688633366574.84,74.561,292.0,683827144288.536
Iran,77447168.0,1358795357282.88,75.953,40.0,439513511620.591
Honduras,8097688.0,41144078464.8,73.575,198.0,22978532896.7816
Nepal,29400000.0,70202856821.17,70.253,251.0,24472013233.8472
Antigua and Barbuda,100963.0,2117532265.75,76.364,38.0,1532397555.55556
Turkmenistan,5125693.0,88837346248.45,67.835,28.0,42355428571.4286
Kyrgyzstan,6000000.0,20454089362.6,70.95122,28.0,7564738836.04122
Maldives,345023.0,5225122523.15,77.339,54.0,4597083303.50693
Barbados,284644.0,4662763817.33,75.906,53.0,4796845980.8226
Central African Republic,4616417.0,3032058545.49,52.171,59.0,1949411659.20453
France,66628000.0,2871263869538.63,82.27317,,2582501307216.42
Zambia,14309466.0,62180293571.74,61.874,55.0,25808666421.5558
Yugoslavia,10700000.0,,,101.0,
Belize,366954.0,3048017324.61,70.384,38.0,1838000000.0
Khmer Republic,7500000.0,,,49.0,
Togo,6816982.0,10667203302.42,60.232,59.0,4812554346.14923
Indonesia,249865631.0,2848027523590.4,69.191,74.0,1015539017536.5
South Yemen,,,,52.0,
Commonwealth realm of the Gambia,400865.0,,,,
Zimbabwe,14149648.0,27875623136.72,61.163,39.0,17845821400.0
Gabrielle Haller,,,,,
Montenegro,620029.0,9985754174.35,77.116,13.0,4774086094.2078
Tunisia,11304500.0,129045249574.73,75.731,63.0,40256675208.7294
Member states of the United Nations,,,,,
San Marino,31595.0,,85.41707,,1658778453.9103
Czechoslovakia,15700000.0,,,101.0,
Philippines,100981437.0,743898412333.4,69.094,454.0,313595208737.269
Ukrainian Soviet Socialist Republic,51706746.0,,,100.0,
Cuba,11265629.0,,79.742,121.0,87132800000.0
Mexico,112336538.0,2157817248941.49,77.118,209.0,1149918794765.73
Portugal,10600000.0,307818132721.61,81.12683,876.0,217571083045.99
Uruguay,3407062.0,72899109557.05,77.493,194.0,56156972157.6958
Belgium,11150516.0,514744861031.14,80.99268,189.0,492681283049.248
Kingdom of the Netherlands,17100715.0,,,204.0,
